,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2
1562,38255593.1566159,36130460.7463109,25639230.746310897,25639230.746310897,0
1563,37708877.56101951,35557800.02096301,25066570.020963013,25066570.020963013,0
1564,37285399.51404373,35003884.039560884,24512654.039560884,24512654.039560884,0
1565,38926150.406463414,36479593.274218455,25988363.274218455,25988363.274218455,0
1566,43702813.626773596,41004689.60186079,30513459.60186079,30513459.60186079,0
1567,49825424.191822745,46829332.16713238,36338102.16713238,36338102.16713238,0
1568,52100485.99626033,48407018.09797495,37915788.09797495,37915788.09797495,0
1569,53683846.85378316,48983785.82209264,38492555.82209264,38492555.82209264,0
1570,53934550.69043787,48126417.58797223,37635187.58797223,37635187.58797223,0
1571,53625852.7132558,46961742.40926603,36470512.40926603,36470512.40926603,0
1572,52451471.36757692,45982259.65761644,35491029.65761644,35491029.65761644,0
1573,52591019.768220864,45552061.17713781,35060831.17713781,35060831.17713781,0
1574,51081963.9032487,44393122.45359266,33901892.45359266,33901892.45359266,0
1575,50352808.40724336,44388155.03257665,33896925.03257665,33896925.03257665,0
1576,52058802.7077563,46847671.33999315,36356441.33999315,36356441.33999315,0
1577,53698949.494545504,49481074.55688808,38989844.55688808,38989844.55688808,0
1578,56480251.81733643,52250151.46778587,41758921.46778587,41758921.46778587,0
1579,55415213.59077683,50523767.69305375,40032537.69305375,40032537.69305375,0
1580,52093236.72869442,46524777.05220067,36033547.05220067,36033547.05220067,0
1581,47615001.68984792,42022561.0334983,31531331.033498302,31531331.033498302,0
1582,42016150.70643643,36379169.98178582,25887939.98178582,25887939.98178582,0
1583,38468842.444180034,33105684.850367785,22614454.850367785,22614454.850367785,0
1584,38376414.28271455,33870723.13001755,23379493.13001755,23379493.13001755,0
1585,37910044.73597377,33236509.792129267,22745279.792129267,22745279.792129267,0
1586,37255194.23251907,32617622.471393317,22126392.471393317,22126392.471393317,0
1587,36679481.566658996,32089415.539040998,21598185.539040998,21598185.539040998,0
1588,36269897.94918457,31215042.380862817,20723812.380862817,20723812.380862817,0
