,Nuclear,Biomass,CCGT,OCGT,Coal
1927,8219070.0,4692160.0,24823944.85,1071703.5555564654,0.0
1928,8219070.0,4692160.0,24823944.85,2703797.9966164064,0.0
1929,8219070.0,4692160.0,24823944.85,3135575.0392086497,0.0
1930,8219070.0,4692160.0,24823944.85,3420444.856962079,0.0
1931,8219070.0,4692160.0,24823944.85,3478094.688920865,0.0
1932,8219070.0,4692160.0,24823944.85,4085499.7482539983,0.0
1933,8219070.0,4692160.0,24823944.85,5060596.852405343,0.0
1934,8219070.0,4692160.0,24823944.85,1965888.1616359935,0.0
1935,8219070.0,4692160.0,24823944.85,1220371.5950581902,0.0
1936,8219070.0,4692160.0,24823944.85,1694530.3329206065,0.0
1937,8219070.0,4692160.0,24823944.85,2891365.8877833653,0.0
1938,8219070.0,4692160.0,24823944.85,4571982.633284581,0.0
1939,8219070.0,4692160.0,24823944.85,3299597.382937626,0.0
1940,8219070.0,4692160.0,24823944.85,86802.18222636632,0.0
1941,8219070.0,4692160.0,19747539.668699823,0.0,0.0
1942,8219070.0,4692160.0,14945491.97460708,0.0,0.0
1943,8219070.0,4692160.0,11193401.484623218,0.0,0.0
1944,8219070.0,4692160.0,11283222.310273957,0.0,0.0
1945,8219070.0,4692160.0,11338177.027617514,0.0,0.0
1946,8219070.0,4692160.0,9422841.13188229,0.0,0.0
1947,8219070.0,4692160.0,8695246.374993406,0.0,0.0
1948,8219070.0,4692160.0,12130832.76731256,0.0,0.0
1949,8219070.0,4692160.0,8162316.9774735775,0.0,0.0
1950,8219070.0,4692160.0,11604933.179393847,0.0,0.0
1951,8219070.0,4692160.0,17367828.42339278,0.0,0.0
1952,8219070.0,4692160.0,18751490.42130982,0.0,0.0
1953,8219070.0,4692160.0,19865847.00023699,0.0,0.0
1954,8219070.0,4692160.0,20995985.71783308,0.0,0.0
1955,8219070.0,4692160.0,20238178.498778824,0.0,0.0
1956,8219070.0,4692160.0,20540777.73791683,0.0,0.0
1957,8219070.0,4692160.0,20889226.449035242,0.0,0.0
1958,8219070.0,4692160.0,20776307.115722314,0.0,0.0
1959,8219070.0,4692160.0,22673784.256934863,0.0,0.0
1960,8219070.0,4692160.0,24538643.764044303,0.0,0.0
1961,8219070.0,4692160.0,24823944.85,1687177.9182246283,0.0
1962,8219070.0,4692160.0,24823944.85,4517579.545486142,0.0
1963,8219070.0,4692160.0,24823944.85,6078139.538414898,0.0
1964,8219070.0,4692160.0,24823944.85,3129675.371741998,0.0
1965,8219070.0,4692160.0,24823944.85,307898.90182427183,0.0
1966,8219070.0,4692160.0,21779871.134572178,0.0,0.0
1967,8219070.0,4692160.0,19341956.38867242,0.0,0.0
1968,8219070.0,4692160.0,19894716.152620275,0.0,0.0
1969,8219070.0,4692160.0,20215415.185487773,0.0,0.0
1970,8219070.0,4692160.0,19738665.974914744,0.0,0.0
1971,8219070.0,4692160.0,18996710.677156214,0.0,0.0
1972,8219070.0,4692160.0,18255563.052684356,0.0,0.0
1973,8219070.0,4692160.0,18450337.230784856,0.0,0.0
1974,8219070.0,4692160.0,19272994.30933942,0.0,0.0
1975,8219070.0,4692160.0,21665042.583758604,0.0,0.0
1976,8219070.0,4692160.0,24823944.85,340216.80475628993,0.0
1977,8219070.0,4692160.0,24823944.85,2717292.9468311872,0.0
1978,8219070.0,4692160.0,24823944.85,3194254.33345297,0.0
1979,8219070.0,4692160.0,24823944.85,3665971.1176731214,0.0
