,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2,Curtailement,Loss of load
1527,52517010.737033665,44654758.54465436,31519308.544654362,31519308.544654362,0.0,0.0,0.0
1528,54198601.45586897,45658578.15136345,32523128.151363447,32523128.151363447,0.0,0.0,0.0
1529,56164074.24931754,46555634.21413717,33420184.214137167,33420184.214137167,0.0,0.0,0.0
1530,57590523.02092814,45867055.88270648,32731605.88270648,32731605.88270648,0.0,0.0,0.0
1531,55122977.79799819,41407723.33857222,28272273.33857222,28272273.33857222,0.0,0.0,0.0
1532,51006687.71610556,36160047.21271741,23024597.212717406,23024597.212717406,0.0,0.0,0.0
1533,46086260.60054595,31081402.413183443,17945952.413183443,17945952.413183443,0.0,0.0,0.0
1534,40514195.086442225,25079842.683804724,11944392.683804724,11944392.683804724,0.0,0.0,0.0
1535,35784391.26478617,20189143.915016443,7053693.915016443,7053693.915016443,0.0,0.0,0.0
1536,36049504.27661511,20313218.125549976,7177768.125549976,7177768.125549976,0.0,0.0,0.0
1537,36351568.88080074,20935227.58726585,7799777.587265849,7799777.587265849,0.0,0.0,0.0
1538,35518105.186533205,20575257.32365622,7439807.32365622,7439807.32365622,0.0,0.0,0.0
1539,34852389.99090082,19930360.790655427,6794910.790655427,6794910.790655427,0.0,0.0,0.0
1540,34430672.61146498,19804953.459413,6669503.459412999,6669503.459412999,0.0,0.0,0.0
1541,35938062.96633305,21099461.738689616,7964011.738689616,7964011.738689616,0.0,0.0,0.0
1542,40916556.86988171,25980644.961109847,12845194.961109847,12845194.961109847,0.0,0.0,0.0
1543,47240557.96178343,32498763.43065609,19363313.43065609,19363313.43065609,0.0,0.0,0.0
1544,50275867.33393995,36571119.436563686,23435669.436563686,23435669.436563686,0.0,0.0,0.0
1545,51678854.777070045,39274346.97510389,26138896.975103892,26138896.975103892,0.0,0.0,0.0
1546,51946313.92174704,40499407.61172159,27363957.61172159,27363957.61172159,0.0,0.0,0.0
1547,51772700.090991825,41234836.94236041,28099386.94236041,28099386.94236041,0.0,0.0,0.0
1548,51844843.67606916,42078371.90840564,28942921.90840564,28942921.90840564,0.0,0.0,0.0
1549,52236061.328480445,43535652.60165459,30400202.60165459,30400202.60165459,0.0,0.0,0.0
1550,51599672.79344859,43725052.73227905,30589602.732279047,30589602.732279047,0.0,0.0,0.0
1551,51451279.890809834,44470317.8836081,31334867.883608103,31334867.883608103,0.0,0.0,0.0
